id;action_type;entity_type;entity_id;old_value;new_value;tenant_id;performed_by_id
1;manipulate sparse till;forsaken instantly;e5c77243-0ddf-4cba-808f-5cdd2c032959;madly;whenever adjudge;1;1
2;lumpy gee;ouch dutiful;0af2a190-62ed-4d4d-b7c3-e04a27265a81;cavernous meadow standard;nor;2;2
3;pleasant lest;pillory;0b5e06e6-997c-4fbc-8e41-23f5201e9c8d;pants opposite;however yahoo carelessly;3;3
4;whoa;pfft outside joyful;54b43d02-ea53-4526-a65f-30ab66efee26;now stage phooey;belabor;4;4
5;mummify;zowie greatly;b2bdf2a6-6c91-449a-b48b-c4088de73e60;naturally what upside-down;accessorise tough integer;5;5
6;whoever pish vastly;frenetically;99d4e347-caa1-4f5e-a803-dd41ba789316;institutionalize;meanwhile excellent yippee;6;6
7;shore aw proselytise;oddly;121af827-c31c-4fa7-8bf2-9aff07391f5e;oh yahoo descent;sans partially after;7;7
8;outlying excluding rapidly;finally fooey thoughtfully;7b078624-651c-4468-aaeb-982fe8ed2ab5;indeed known aside;writ inculcate;8;8
9;during circa eek;concerning freckle;bdc06785-8c56-4a03-8030-48820122cb76;furthermore;considering yahoo duh;9;9
10;er;requirement phooey what;b90a80fc-f6a5-464c-b7a1-a4ea2093bad2;cleverly;via;10;10
