id;company_name;contact_person;logo;website;registration_number;sub_id
1;bah thick;provided;approximate apud;consequently;mothball athwart exhilarate;22681
2;lest wetland;wobbly;wonderfully;ack um cry;notable absent fiercely;579
3;huzzah;blah wet;meh whether;knowledgeably gee into;regarding;16530
4;jolt;dearly plus;hence particle;dreamily unconscious injunction;yet;4533
5;business proofread vice;though;pfft investigation;damage meaningfully hearty;naturally kindly;27206
6;finally;unknown phooey early;always;regarding;in who;2117
7;miserly which;nose;iceberg yippee blag;pfft capsize tremendous;mostly;23550
8;cop-out woot logic;foolishly whoa ha;fervently since;pervert than;mixed foster;20889
9;collateral;since whiten;triumphantly administer swiftly;highly;plasticize angrily;6100
10;cheerfully lest;each;anthologise briskly tomato;tip idolise before;replenish;32028
