id;name;name_search;sku;description;category;unit_label;base_price;currency;is_active;tenant_id
1;hopelessly destock;adjudge supposing;kookily mom neatly;unimpressively;following deed;gripping ugh;17245.88;unlike sto;false;1
2;though giggle;disclosure;major smarten;how;shred pension;now;20245.63;but unline;true;2
3;geez anti;drat;construe kaleidoscopic;between;bouncy;powerful appropriate venom;6444.97;lively mos;false;3
4;till whoever engender;claw;squeaky than;until brr coolly;but;plan pfft;24551.17;frenetical;true;4
5;pacemaker duffel aside;gee continually;battle once;blowgun never;minus if er;so;9326.05;wherever i;false;5
6;amid;following;pfft lustrous;meh till once;fooey;vaguely;24271.88;passport v;true;6
7;mortar via;during parody above;dearly unless;rout;suffice beside baseboard;meh;26721.5;legislatur;false;7
8;besides among;vice recommendation commodity;zen;hateful sophisticated;nimble excepting cease;rally;11783.51;qua;false;8
9;hmph chops ravioli;surprisingly pasta;table rue;catch bump;dock;rosemary;13138.91;towards wh;false;9
10;famously though consistency;harp;rosy huzzah noted;truthfully sadly while;statue regular;giggle until;32205.88;noisily he;false;10
