id;logo_path;logo_dark_path;favicon_path;primary_color;secondary_color;accent_color;pdf_header_logo_path;pdf_footer_text;pdf_primary_color;tenant_id
1;verbally;sternly;marksman cinder unless;psst;likable;technician uh-huh facilitate;flu musty since;interchange barring wherever;crystallize management;1
2;hutch;yuck hoick;peppery;fast progress;markup sometimes;ouch airport;exactly;gleefully gee humidity;condense;2
3;psst;electrify specific;wisely indeed;versus fortunately;oil whereas gadzooks;inasmuch;mobility familiarize pish;gah;councilman yowza making;3
4;but embed pantyhose;tusk heavy;respectful till positively;before;deck;gah redact personal;phew mmm;for yum;blindly outrageous;4
5;phew;now;instead putrefy;down;partially;gee yowza now;flashy diligently;through;yahoo;5
6;overconfidently meh who;heighten ugh strident;scoop;coexist convalesce;aboard;foodstuffs oh;yahoo zowie publication;unless;nervously;6
7;mismatch eek delightfully;larva uh-huh;ouch past;garrote;acquire wretched boohoo;stock;inferior without;less aha;unimportant;7
8;under;slow state orientate;drat grouchy;option consequently if;marten inspect however;shipper;design glossy;but when achieve;which;8
9;although whitewash;duh;bungalow remark;unfortunately switchboard;soft;quickly as;impostor gah pish;cop parched magnificent;shrill because;9
10;daily annually;urban of that;angelic amid reschedule;trusting imaginary;heavily;decisive speedy;provided fedora;recommendation gosh;runny mmm;10
